piece,onset_f1
lc6623145,0.0759592795614722
lc6564816,0.2064935064935065
lc6245971,0.18702611625947768
lc5121692,0.9367088607594937
lc6901197,0.12531328320802007
lc5079512,0.12276882890727035
lc5079539,0.14939393939393938
lc6635424,0.20173680694722776
lc5901950,0.36960276338514686
lc5864837,0.27971014492753626
lc5884544,0.1295404814004376
lc6302395,
lc5071668,0.19735391400220506
lc5071654,0.2076555023923445
lc6686901,0.041176470588235294
lc5153947,0.3051525762881441
lc5654342,0.10116731517509728
lc5098672,0.1669477234401349
lc5098678,0.21685508735868447
lc5705502,0.1655379984951091
lc5071689,0.09606540623403166
lc5846139,0.06395048994326974
lc5033089,0.38655462184873945
lc8702982,0.6157894736842106
lc6379750,0.6079664570230608
lc6497657,0.09503959983326388
lc4999292,0.13658881811748055
lc6293357,0.09160864785635765
lc4999332,0.30626057529610834
lc5161599,0.33572453371592537
lc6189644,0.24025974025974026
lc5051353,0.290798939795532
lc5051358,0.1697065820777161
lc5062141,0.13617960986382038
lc7006856,0.08427299703264093
lc6230256,0.0926331145149526
lc6236151,0.09907120743034056
lc6569865,0.10604805302402652
lc6260379,0.05975395430579965
lc6179275,0.07906783187682065
lc28688206,0.8801955990220048
lc5598547,0.09246231155778895
lc29748284,0.5475555555555556
lc5660573,0.12755417956656348
lc5660558,0.058546785154208046
lc6811470,0.05340453938584779
lc6812631,0.057942057942057944
lc6603244,0.2751235584843493
lc6604179,0.13579511614055984
lc6625953,0.3895976447497547
lc6626468,0.11274509803921567
lc6620571,0.09361069836552749
lc6174661,0.08906882591093118
lc6157283,0.25251076040172166
lc32165894,0.15005359056806
lc6456501,0.029481692819781267
lc4986023,0.20491803278688525
lc4986030,0.23980222496909767
lc6034442,0.09156626506024097
lc6034473,0.7166882276843467
lc5986322,0.1502308015107008
lc6189719,0.15240875912408758
lc5905808,0.20624008461131677
lc6011095,0.12322858903265559
lc5001730,0.32527759634225994
lc5995173,0.16206261510128914
lc6157363,0.06134969325153374
lc6214351,
lc6130647,0.3029366306027821
lc6247269,0.05292360221937687
lc5988489,0.11580381471389646
lc6166144,0.2112845138055222
lc6206972,0.1651376146788991
lc6207073,0.06492951730029903
lc6577426,0.6244776119402985
lc6073491,0.13028413028413027
lc6061301,0.13901710562041814
lc6062682,0.6406130268199234
lc5105407,0.18776758409785935
lc6117742,0.1316287878787879
lc6093956,0.2785016286644952
lc6575645,0.1849096705632306
lc6645039,0.2695035460992908
lc6645396,0.20831084727468968
lc6753345,0.3246187363834423
lc6508497,0.22672064777327935
lc6997609,0.27249789739276703
lc6649005,0.1494163424124514
lc6646781,0.1523081446633343
lc6652787,0.13554028732042475
lc6663427,0.0364321608040201
lc30191099,0.18752803947958727
lc5002111,0.05755395683453237
lc5100073,0.30107526881720426
lc5100188,0.4104289318755257
lc5002096,0.3806038426349496
lc5001880,0.036866359447004615
lc5001980,0.12871287128712872
lc5002052,0.28240740740740744
lc5092612,0.15763546798029554
lc5002078,0.24390243902439027
lc6987889,0.3273453093812375
lc5093434,0.18433578537429682
lc6487832,0.1712538226299694
lc5004731,0.42105263157894735
lc4985932,0.9048473967684021
lc6834474,0.26484018264840187
lc4919879,0.19775280898876407
lc4982491,0.19587628865979384
lc4982465,0.42171717171717166
lc29747756,0.23559108119478336
lc4985985,0.10635294117647058
lc5007176,0.2553729456384323
lc5013945,0.38283828382838286
lc5125680,0.8988529718456726
lc5142714,0.1111934766493699
lc4978396,0.08134642356241234
lc4978368,0.7105263157894738
lc6834630,0.4306110793832096
lc6984631,0.42097596504005824
lc6985082,0.13828125
lc6915729,0.40413793103448276
lc6915753,0.8888888888888888
lc6885211,0.17147636971978253
lc6980134,0.8667790893760539
lc6981173,0.13567251461988303
lc6909785,0.3709677419354839
lc6211903,0.1148036253776435
lc6788150,0.08558558558558559
lc6548281,0.07123287671232877
lc31184216,0.053970360539703596
lc29477486,0.25444488344527855
lc5979580,0.3872296601441812
lc5989772,0.25703200775945684
lc6638810,0.11316259678379986
lc6232420,0.09620253164556963
lc6439639,0.20151679306608886
lc6195130,0.1596707818930041
lc6196859,0.1661392405063291
lc6716631,0.5229681978798587
lc6725471,
lc5032950,0.11400329489291598
lc5057797,0.4933759707629054
lc5077482,0.03913978494623656
lc4945954,0.14923804519180242
lc6568070,0.272467449984122
